21:01:21 | 08/12/2025 | INFO | Rozpoczeto podlewanie na sekcji: 1
21:01:21 | 08/12/2025 | HARDWARE | aktywuje pin - 11
21:17:21 | 08/12/2025 | INFO | Rozpoczeto podlewanie na sekcji: 2
21:17:21 | 08/12/2025 | INFO | Zakonczono podlewanie po: 1020.0 sekundach i 400015.0 ml wylanej wody
21:17:21 | 08/12/2025 | HARDWARE | deaktywuje pin - 11
21:17:21 | 08/12/2025 | HARDWARE | aktywuje pin - 23
21:37:21 | 08/12/2025 | INFO | Zakonczono podlewanie po: 1200.0 sekundach i 500010.0 ml wylanej wody
21:37:21 | 08/12/2025 | HARDWARE | deaktywuje pin - 23
00:01:21 | 09/12/2025 | INFO | Rozpoczeto podlewanie na sekcji: 0
00:01:21 | 09/12/2025 | HARDWARE | aktywuje pin - 25
01:31:21 | 09/12/2025 | INFO | Zakonczono podlewanie po: 5460.0 sekundach i 2249905.0 ml wylanej wody
01:31:21 | 09/12/2025 | HARDWARE | deaktywuje pin - 25
05:01:21 | 09/12/2025 | INFO | Rozpoczeto podlewanie na sekcji: 1
05:01:21 | 09/12/2025 | HARDWARE | aktywuje pin - 11
05:21:21 | 09/12/2025 | INFO | Rozpoczeto podlewanie na sekcji: 2
05:22:21 | 09/12/2025 | INFO | Zakonczono podlewanie po: 1320.0 sekundach i 524930.0 ml wylanej wody
05:22:21 | 09/12/2025 | HARDWARE | deaktywuje pin - 11
05:22:21 | 09/12/2025 | HARDWARE | aktywuje pin - 23
05:39:21 | 09/12/2025 | INFO | Zakonczono podlewanie po: 1020.0 sekundach i 424900.0 ml wylanej wody
05:39:21 | 09/12/2025 | HARDWARE | deaktywuje pin - 23
21:01:21 | 09/12/2025 | INFO | Rozpoczeto podlewanie na sekcji: 1
21:01:21 | 09/12/2025 | HARDWARE | aktywuje pin - 11
21:17:21 | 09/12/2025 | INFO | Rozpoczeto podlewanie na sekcji: 2
21:18:21 | 09/12/2025 | INFO | Zakonczono podlewanie po: 1080.0 sekundach i 424970.0 ml wylanej wody
21:18:21 | 09/12/2025 | HARDWARE | deaktywuje pin - 11
21:18:21 | 09/12/2025 | HARDWARE | aktywuje pin - 23
21:39:21 | 09/12/2025 | INFO | Zakonczono podlewanie po: 1260.0 sekundach i 524965.0 ml wylanej wody
21:39:21 | 09/12/2025 | HARDWARE | deaktywuje pin - 23
00:01:21 | 10/12/2025 | INFO | Rozpoczeto podlewanie na sekcji: 0
00:01:21 | 10/12/2025 | HARDWARE | aktywuje pin - 25
01:31:21 | 10/12/2025 | INFO | Zakonczono podlewanie po: 5460.0 sekundach i 2249800.0 ml wylanej wody
01:31:21 | 10/12/2025 | HARDWARE | deaktywuje pin - 25
02:01:21 | 10/12/2025 | INFO | Rozpoczeto podlewanie na sekcji: 3
02:01:21 | 10/12/2025 | HARDWARE | aktywuje pin - 5
02:16:21 | 10/12/2025 | INFO | Rozpoczeto podlewanie na sekcji: 4
02:16:21 | 10/12/2025 | INFO | Zakonczono podlewanie po: 960.0 sekundach i 375025.0 ml wylanej wody
02:16:21 | 10/12/2025 | HARDWARE | deaktywuje pin - 5
02:16:21 | 10/12/2025 | HARDWARE | aktywuje pin - 18
02:31:21 | 10/12/2025 | INFO | Rozpoczeto podlewanie na sekcji: 5
02:32:21 | 10/12/2025 | INFO | Zakonczono podlewanie po: 960.0 sekundach i 399945.0 ml wylanej wody
02:32:21 | 10/12/2025 | HARDWARE | deaktywuje pin - 18
02:32:21 | 10/12/2025 | HARDWARE | aktywuje pin - 6
02:46:21 | 10/12/2025 | INFO | Rozpoczeto podlewanie na sekcji: 6
02:48:21 | 10/12/2025 | INFO | Zakonczono podlewanie po: 960.0 sekundach i 400085.0 ml wylanej wody
02:48:21 | 10/12/2025 | HARDWARE | deaktywuje pin - 6
02:48:21 | 10/12/2025 | HARDWARE | aktywuje pin - 12
03:01:21 | 10/12/2025 | INFO | Rozpoczeto podlewanie na sekcji: 7
03:04:21 | 10/12/2025 | INFO | Zakonczono podlewanie po: 960.0 sekundach i 400015.0 ml wylanej wody
03:04:21 | 10/12/2025 | HARDWARE | deaktywuje pin - 12
03:04:21 | 10/12/2025 | HARDWARE | aktywuje pin - 13
03:16:21 | 10/12/2025 | INFO | Rozpoczeto podlewanie na sekcji: 8
03:20:21 | 10/12/2025 | INFO | Zakonczono podlewanie po: 960.0 sekundach i 399945.0 ml wylanej wody
21:01:47 | 07/12/2025 | INFO | Rozpoczeto podlewanie na sekcji: 1
21:01:47 | 07/12/2025 | HARDWARE | aktywuje pin - 11
21:17:47 | 07/12/2025 | INFO | Rozpoczeto podlewanie na sekcji: 2
21:17:47 | 07/12/2025 | INFO | Zakonczono podlewanie po: 1020.0 sekundach i 400015.0 ml wylanej wody
21:17:47 | 07/12/2025 | HARDWARE | deaktywuje pin - 11
21:17:47 | 07/12/2025 | HARDWARE | aktywuje pin - 23
21:38:47 | 07/12/2025 | INFO | Zakonczono podlewanie po: 1260.0 sekundach i 524965.0 ml wylanej wody
21:38:47 | 07/12/2025 | HARDWARE | deaktywuje pin - 23
00:01:47 | 08/12/2025 | INFO | Rozpoczeto podlewanie na sekcji: 0
00:01:47 | 08/12/2025 | HARDWARE | aktywuje pin - 25
01:31:47 | 08/12/2025 | INFO | Zakonczono podlewanie po: 5460.0 sekundach i 2249975.0 ml wylanej wody
01:31:47 | 08/12/2025 | HARDWARE | deaktywuje pin - 25
02:01:47 | 08/12/2025 | INFO | Rozpoczeto podlewanie na sekcji: 3
02:01:47 | 08/12/2025 | HARDWARE | aktywuje pin - 5
02:16:47 | 08/12/2025 | INFO | Rozpoczeto podlewanie na sekcji: 4
02:16:47 | 08/12/2025 | INFO | Zakonczono podlewanie po: 960.0 sekundach i 375025.0 ml wylanej wody
02:16:47 | 08/12/2025 | HARDWARE | deaktywuje pin - 5
02:16:47 | 08/12/2025 | HARDWARE | aktywuje pin - 18
02:31:47 | 08/12/2025 | INFO | Rozpoczeto podlewanie na sekcji: 5
02:32:47 | 08/12/2025 | INFO | Zakonczono podlewanie po: 960.0 sekundach i 399945.0 ml wylanej wody
02:32:47 | 08/12/2025 | HARDWARE | deaktywuje pin - 18
02:32:47 | 08/12/2025 | HARDWARE | aktywuje pin - 6
